year,bedrooms,property_type,location,avg_rent
2008,All bedrooms,Other flats,Dublin 6,776.39
2008,All bedrooms,Other flats,"Milltown, Dublin 6",
2008,All bedrooms,Other flats,"Ranelagh, Dublin 6",760.69
2008,All bedrooms,Other flats,Dublin 14,
2008,All bedrooms,Other flats,"Churchtown, Dublin 14",
2008,All bedrooms,Other flats,Dublin 16,
2008,All bedrooms,Other flats,"Dundrum, Dublin 16",
2008,All bedrooms,Other flats,Dublin 18,
2008,All bedrooms,Other flats,"Cabinteely, Dublin 18",
2008,All bedrooms,Other flats,"Carrickmines, Dublin 18",
2008,All bedrooms,Other flats,"Leopardstown, Dublin 18",
2008,All bedrooms,Other flats,"Sandyford, Dublin 18",
2008,One bed,All property types,Dublin,922.96
2008,One bed,All property types,"Shankill, Dublin",
2008,One bed,All property types,"Stillorgan, Dublin",1190.53
2008,One bed,All property types,Dublin 2,1131.03
2008,One bed,All property types,"Charlemont Street, Dublin 2",
2008,One bed,All property types,Dublin 6,802.12
2008,One bed,All property types,"Milltown, Dublin 6",1265.08
2008,One bed,All property types,"Ranelagh, Dublin 6",808.83
2008,One bed,All property types,Dublin 14,1091.79
2008,One bed,All property types,"Churchtown, Dublin 14",
2008,One bed,All property types,Dublin 16,1061.69
2008,One bed,All property types,"Dundrum, Dublin 16",1159.91
2008,One bed,All property types,Dublin 18,1215.45
2008,One bed,All property types,"Cabinteely, Dublin 18",1097.78
2008,One bed,All property types,"Carrickmines, Dublin 18",
2008,One bed,All property types,"Leopardstown, Dublin 18",
2008,One bed,All property types,"Sandyford, Dublin 18",1262.28
2008,One bed,Detached house,Dublin,1031.97
2008,One bed,Detached house,"Shankill, Dublin",
2008,One bed,Detached house,"Stillorgan, Dublin",
2008,One bed,Detached house,Dublin 2,
2008,One bed,Detached house,"Charlemont Street, Dublin 2",
2008,One bed,Detached house,Dublin 6,
2008,One bed,Detached house,"Milltown, Dublin 6",
2008,One bed,Detached house,"Ranelagh, Dublin 6",
2008,One bed,Detached house,Dublin 14,
2008,One bed,Detached house,"Churchtown, Dublin 14",
2008,One bed,Detached house,Dublin 16,
2008,One bed,Detached house,"Dundrum, Dublin 16",
2008,One bed,Detached house,Dublin 18,
2008,One bed,Detached house,"Cabinteely, Dublin 18",
2008,One bed,Detached house,"Carrickmines, Dublin 18",
