stop_sequence,station,latitude,longitude,distance_km_to_centre,travel_min_to_centre,park_and_ride,rtb_area,year,bedrooms,property_type,avg_rent,dublin_avg,vs_dublin_pct
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,Three bed,Semi detached house,2035.71,1368.08,48.8
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,Three bed,Terrace house,1989.86,1418.08,40.3
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,All property types,974.03,1147.99,-15.2
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Semi detached house,1145.42,1159.28,-1.2
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Terrace house,1499.0,1203.36,24.6
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Apartment,1169.4,1230.06,-4.9
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Other flats,756.3,758.27,-0.3
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,All property types,1099.11,1220.36,-9.9
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Semi detached house,1499.52,1317.88,13.8
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Terrace house,1759.08,1317.42,33.5
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Apartment,1199.42,1262.6,-5.0
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Other flats,758.23,774.06,-2.0
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,Four plus bed,All property types,2388.72,1784.78,33.8
